method data_param num_cells seed dim vargenes adj.rsq max.rsq
UMAP all_cell_types 15000 2 50 3000 0.00280485775201611 0.00280322448935899
UMAP all_cell_types 1000 1 50 3000 0.00281673218198153 0.00210984940956815
UMAP all_cell_types 10000 2 50 3000 0.00296679122156029 0.00302634589246442
UMAP all_cell_types 10000 3 50 3000 0.00362645562165365 0.00370974939324298
UMAP all_cell_types 5000 4 50 3000 0.00418230510813788 0.00340429698937961
UMAP all_cell_types 1000 2 50 3000 0.00240885217033027 0.00130906767963235
UMAP all_cell_types 5000 2 50 3000 0.00168445712197407 0.00180176451690017
UMAP all_cell_types 5000 3 50 3000 0.00348802543957094 0.00368399235362649
UMAP all_cell_types 5000 5 50 3000 0.00762593156996327 0.00381619667415423
UMAP all_cell_types 5000 1 50 3000 0.000304713609625473 0.000388523299274302
UMAP all_cell_types 1000 4 50 3000 -0.000299829963784859 0.000278775799172903
UMAP all_cell_types 10000 5 50 3000 0.00354081371871007 0.0028476104844668
UMAP all_cell_types 1000 5 50 3000 0.000416419724914907 0.000778696594528228
UMAP all_cell_types 500 2 50 3000 -0.000460843424699986 0.00117388145800945
UMAP all_cell_types 500 1 50 3000 0.00359911514492028 0.00436426021815028
UMAP all_cell_types 100 3 50 3000 0.00993081482702074 0.00942925421694696
UMAP all_cell_types 100 1 50 3000 0.0232391989532036 0.0311564400445716
UMAP all_cell_types 500 3 50 3000 0.0155163176742471 0.0142536177943164
UMAP all_cell_types 500 5 50 3000 0.00931762813384485 0.0113069211505769
UMAP all_cell_types 100 4 50 3000 0.0449871938999772 0.0546863167613886
UMAP all_cell_types 100 2 50 3000 0.00827888134866861 0.0151422708942687
UMAP all_cell_types 500 4 50 3000 -0.00230835125095741 -0.000327795615272519
UMAP all_cell_types 100 5 50 3000 -0.009581256218131 0.000550428632817845
UMAP all_cell_types 1000 1 50 20000 0.00382779308496906 0.00289556647762923
UMAP all_cell_types 1000 3 50 20000 -0.00175355758233398 -0.000750379170382898
UMAP all_cell_types 1000 4 50 20000 0.0143826203720818 0.00898252513467668
UMAP all_cell_types 500 2 50 20000 -0.00274710377947374 -0.000820523317702326
UMAP all_cell_types 500 3 50 20000 -0.00207848543671019 -6.96185928763526e-05
UMAP all_cell_types 500 1 50 20000 -0.000152271107863644 0.00142393198031288
UMAP all_cell_types 100 3 50 20000 0.0731078209378194 0.0783763066437333
UMAP all_cell_types 500 5 50 20000 -0.00382762689555505 -0.00181606899161268
UMAP all_cell_types 500 4 50 20000 -0.0019332105586225 -0.000946174340870076
UMAP all_cell_types 100 5 50 20000 0.003914609782395 0.0128212924566028
UMAP all_cell_types 100 1 50 20000 0.0271604350655448 0.0357635392331046
UMAP all_cell_types 100 2 50 20000 -0.00860243474559219 -0.00552250132011389
UMAP all_cell_types 100 4 50 20000 0.0919509418806085 0.0745666041256826
PCA all_cell_types 25000 2 50 3000 0.0694542740035521 0.01110083352001
PCA all_cell_types 15000 1 50 3000 0.0572867040128093 0.00731575648197158
PCA all_cell_types 25000 4 50 3000 0.0588656677444028 0.015353316770188
PCA all_cell_types 10000 1 50 3000 0.05229297580506 0.00773265321911931
PCA all_cell_types 10000 5 50 3000 0.0551655884024327 0.0132822078481757
PCA all_cell_types 10000 4 50 3000 0.048653332878056 0.00690332964117457
PCA all_cell_types 10000 2 50 3000 0.048639963431254 0.0167438063189599
PCA all_cell_types 5000 3 50 3000 0.0381571971233562 0.00399139187497077
PCA all_cell_types 5000 5 50 3000 0.0454593348834061 0.0086592921399945
PCA all_cell_types 1000 1 50 3000 0.0145295284224625 0.00957407035156732
PCA all_cell_types 1000 3 50 3000 0.0186059665144518 0.00616698070124733
PCA all_cell_types 5000 2 50 3000 0.0412592519770388 0.00724982497098781
PCA all_cell_types 1000 4 50 3000 0.0237442607095402 0.00848132500069987
PCA all_cell_types 5000 4 50 3000 0.0384408934704181 0.0086593340429687
PCA all_cell_types 500 1 50 3000 -0.000306887607683048 0.0125345259014763
PCA all_cell_types 500 5 50 3000 0.036527462633574 0.0251970476595764
PCA all_cell_types 500 2 50 3000 0.00685525667634446 0.00926173954124199
PCA all_cell_types 100 3 50 3000 0.0460477156811318 0.0579357386684088
PCA all_cell_types 1000 5 50 3000 0.0264446522694923 0.00595898191835542
PCA all_cell_types 1000 2 50 3000 0.0236397515329307 0.00748956255635902
PCA all_cell_types 500 4 50 3000 0.0123917542719082 0.00951618522889641
PCA all_cell_types 500 3 50 3000 0.00632713926773043 0.0115359961402652
PCA all_cell_types 100 2 50 3000 0.136826774621199 0.0439007568136727
PCA all_cell_types 100 1 50 3000 0.0176741841447331 0.0379445514018484
PCA all_cell_types 100 4 50 3000 0.0935932537797858 0.0520396303750581
PCA all_cell_types 100 5 50 3000 -0.0129699512858605 0.0360504463917599
PCA all_cell_types 1000 1 50 20000 0.157690837288575 0.0520678727173679
PCA all_cell_types 1000 3 50 20000 0.183407211220222 0.0694744791949934
PCA all_cell_types 1000 2 50 20000 0.162318838701512 0.0390068661293266
PCA all_cell_types 1000 5 50 20000 0.159973845919107 0.038973746860077
PCA all_cell_types 500 2 50 20000 0.13411775358405 0.0523940225444567
PCA all_cell_types 1000 4 50 20000 0.182134917908341 0.0660318106340091
PCA all_cell_types 100 1 50 20000 0.154264444859947 0.0927503098498552
PCA all_cell_types 500 4 50 20000 0.162168815535319 0.0370681731584291
PCA all_cell_types 500 3 50 20000 0.183150048198075 0.0453559664693518
PCA all_cell_types 100 3 50 20000 0.164821017316331 0.0523905791862559
PCA all_cell_types 100 2 50 20000 0.157498773284717 0.0549444594517142
PCA all_cell_types 500 5 50 20000 0.16178458668627 0.0371278903011416
PCA all_cell_types 100 4 50 20000 0.133739844378515 0.0696832205355962
UMAP int_ex 1000 1 50 3000 0.00951832933392749 0.00960263620422186
UMAP int_ex 5000 2 50 3000 0.00683329846911873 0.00584608415592458
UMAP int_ex 500 2 50 3000 0.0327331532184101 0.028192988571631
UMAP int_ex 10000 4 50 3000 0.00669384909092396 0.00606567901423727
UMAP int_ex 100 1 50 3000 0.0140700510640832 0.0215510289793235
UMAP int_ex 1000 3 50 3000 0.00692950052273178 0.00604359915923791
UMAP int_ex 1000 5 50 3000 0.00286714993472392 0.00180955513212766
UMAP int_ex 500 1 50 3000 -0.00328760674024386 -0.0015108621631541
UMAP int_ex 500 3 50 3000 0.00454459209519908 0.00310374192584617
UMAP int_ex 500 4 50 3000 -0.00337313328682676 -0.00138612510566283
UMAP int_ex 10000 3 50 3000 0.000226527173120661 0.000215581222798189
UMAP int_ex 10000 5 50 3000 0.01030093656301 0.00888527275375628
UMAP int_ex 500 5 50 3000 0.0034648548516415 0.00291593966054138
UMAP int_ex 100 2 50 3000 0.0318781201524099 0.0415929775147419
UMAP int_ex 100 3 50 3000 -0.0153623104498721 -0.00600099278249777
UMAP int_ex 100 5 50 3000 -0.00833352822017952 -0.00363118749374758
UMAP int_ex 100 4 50 3000 -0.000334151389179027 0.00110583270824927
UMAP int_ex 1000 5 50 19425 0.00361484168045401 0.00271711102171435
UMAP int_ex 100 1 50 19425 -0.0164749513689972 -0.00779416643346487
UMAP int_ex 500 2 50 19425 -0.000127574339841896 0.000107740941982071
UMAP int_ex 1000 4 50 19425 0.00149539607441174 0.00159008791078619
UMAP int_ex 100 3 50 19425 0.0255598767405415 0.0164854912437864
UMAP int_ex 100 2 50 19425 0.00531021256939845 0.0123530897394889
UMAP int_ex 100 5 50 19425 0.0780874672813873 0.0867531573646982
UMAP int_ex 5000 4 50 19425 0.00329179044898631 0.0023696597675682
PCA int_ex 10000 1 50 3000 0.365683278336151 0.116411778152085
PCA int_ex all 2 50 3000 0.384879876108087 0.100370093833125
PCA int_ex 10000 2 50 3000 0.371081411801345 0.0956571239501453
PCA int_ex 10000 4 50 3000 0.369264340020174 0.107085508476202
PCA int_ex 10000 5 50 3000 0.373844047944656 0.0964719744308038
PCA int_ex 5000 2 50 3000 0.350038746519456 0.0764932477248254
PCA int_ex all 3 50 3000 0.384879876108087 0.100370093833125
PCA int_ex 5000 3 50 3000 0.367008016387898 0.10350481699577
PCA int_ex 1000 1 50 3000 0.311406646602924 0.0511788047701717
PCA int_ex 1000 2 50 3000 0.352514777811768 0.0810735222549409
PCA int_ex 5000 5 50 3000 0.35686270977863 0.103590086646099
PCA int_ex 1000 4 50 3000 0.337941967578698 0.104307059082444
PCA int_ex 5000 1 50 3000 0.336240768296642 0.111314033592262
PCA int_ex 1000 5 50 3000 0.341530788807028 0.105443467533374
PCA int_ex 500 1 50 3000 0.310732347607956 0.044665309325854
PCA int_ex 500 4 50 3000 0.32135100256123 0.0710964304974485
PCA int_ex 5000 4 50 3000 0.33559703562708 0.114549784121717
PCA int_ex 100 2 50 3000 0.371317329167133 0.0878648262431168
PCA int_ex 500 3 50 3000 0.343757730901521 0.100078893901194
PCA int_ex 100 1 50 3000 0.360125252240674 0.0860678878526406
PCA int_ex 100 5 50 3000 0.235456773567169 0.0908609087167274
PCA int_ex 1000 3 50 3000 0.322136693796597 0.0592267552079687
PCA int_ex 100 4 50 3000 0.284964124308745 0.0566184716235825
PCA int_ex 500 2 50 3000 0.367492222941754 0.0796151102044214
PCA int_ex 500 5 50 3000 0.337343370671902 0.103918021223795
PCA int_ex 100 3 50 3000 0.31444401742087 0.0808304897685999
PCA int_ex 5000 2 50 19425 0.494140679582164 0.168198097056242
PCA int_ex 1000 3 50 19425 0.44412170706502 0.133321303379392
PCA int_ex 1000 4 50 19425 0.467109725851573 0.199663349611692
PCA int_ex 500 1 50 19425 0.416311685468996 0.122463686395348
PCA int_ex 1000 5 50 19425 0.436631275494597 0.15136613788957
PCA int_ex 500 5 50 19425 0.410853642694268 0.1904139895235
PCA int_ex 100 3 50 19425 0.540189236924313 0.0625045513982151
PCA int_ex 500 4 50 19425 0.444111612603408 0.186521413178761
PCA int_ex 100 2 50 19425 0.426660801855758 0.146977937409696
PCA int_ex 100 1 50 19425 0.337452391098027 0.135143598595205
PCA int_ex 100 5 50 19425 0.403578853380364 0.0549480260639088
PCA int_ex 100 4 50 19425 0.401233070610321 0.0666744641426444
Cond_PCA all_cell_types 10000 2 50 3000 0.0715573728813929 0.0145002606780706
Cond_PCA all_cell_types 10000 1 50 3000 0.0756285620719992 0.0164941735343157
Cond_PCA all_cell_types 5000 1 50 3000 0.0683773389405684 0.0105108525853133
Cond_PCA all_cell_types 1000 3 50 3000 0.0410275750288361 0.0089988569247258
Cond_PCA all_cell_types 1000 2 50 3000 0.031852414294232 0.0102953197486817
Cond_PCA all_cell_types 1000 1 50 3000 0.0164238217958277 0.00798856750918442
Cond_PCA all_cell_types 5000 5 50 3000 0.0625939825420283 0.0189938199096116
Cond_PCA all_cell_types 5000 4 50 3000 0.0666935362017312 0.0207827619861696
Cond_PCA all_cell_types 1000 5 50 3000 0.0457878500339459 0.0135280100753373
Cond_PCA all_cell_types 1000 4 50 3000 0.0271734526827522 0.0133772869084867
Cond_PCA all_cell_types 5000 3 50 3000 0.0528467973086317 0.0105763071626656
Cond_PCA all_cell_types 500 1 50 3000 0.0029263043437705 0.00582161011703108
Cond_PCA all_cell_types 500 2 50 3000 0.0209050313897702 0.00893706241351921
Cond_PCA all_cell_types 500 3 50 3000 0.0127870660658205 0.00808980511556767
Cond_PCA all_cell_types 500 4 50 3000 0.0342099016550407 0.0140417547917262
Cond_PCA all_cell_types 100 1 50 3000 -0.0864479814444534 0.0280680174076819
Cond_PCA all_cell_types 500 5 50 3000 0.0214748247180633 0.0187000472100136
Cond_PCA all_cell_types 100 5 50 3000 -0.0891799226841961 0.0431234143025075
Cond_PCA all_cell_types 100 2 50 3000 0.134714768824477 0.143190780659749
Cond_PCA all_cell_types 100 4 50 3000 0.0736648053950095 0.0588475835705345
Cond_PCA all_cell_types 100 3 50 3000 0.0173436711153021 0.0526407803763094
Cond_PCA all_cell_types 100 1 50 20000 0.139532408178138 0.0457339352800943
Cond_PCA all_cell_types 100 3 50 20000 0.0380212019452122 0.0745096461045887
Cond_PCA all_cell_types 100 2 50 20000 0.119064872799988 0.0677047765559718
Cond_PCA all_cell_types 500 1 50 20000 0.10827656316373 0.0359645958471182
Cond_PCA all_cell_types 500 4 50 20000 0.17329614534641 0.036124397624158
Cond_PCA all_cell_types 500 3 50 20000 0.183893498294179 0.045387025776387
Cond_PCA all_cell_types 500 5 50 20000 0.164915220771476 0.035061686987616
Cond_PCA int_ex 1000 1 50 3000 0.321349030575771 0.0395655231708175
Cond_PCA int_ex 1000 3 50 3000 0.319611263676921 0.0476128312017621
Cond_PCA int_ex 1000 2 50 3000 0.355693285288941 0.0642534208966727
Cond_PCA all_cell_types 500 2 50 20000 0.14576543614752 0.03713702839355
Cond_PCA int_ex 1000 4 50 3000 0.336955705786892 0.0767307286795667
Cond_PCA int_ex 500 1 50 3000 0.313356497001973 0.0400038887552454
Cond_PCA int_ex 1000 5 50 3000 0.343316429051695 0.0491535403812215
Cond_PCA int_ex 5000 5 50 3000 0.358540359747773 0.0840751449695022
Cond_PCA int_ex 500 4 50 3000 0.320971774503918 0.0456880919692987
Cond_PCA int_ex 500 3 50 3000 0.339563617146871 0.0704270428353346
Cond_PCA int_ex 100 2 50 3000 0.407079453953617 0.0717401314183076
