seed method state_type dim total_cells perc_genes perc_cells flag ct_in_state adj.rsq max.rsq max.rsq_sub total_cells_can_occupy_state total_cells_occupy_state total_genes total_genes_in_state
5 PCA within_one_ct 10 20000 0.15 0.3 NA EX 0.221711026339833 0.103753577015035 0.0499296832179712 2001 600 2527 379
8 PCA within_one_ct 10 20000 0.15 0.3 NA MG 0.237907748286093 0.129354577147045 0.0068755945072628 1292 387 2527 379
6 PCA within_one_ct 10 20000 0.15 0.3 NA ODC 0.112394032648457 0.0834875394122407 0.00222815078539652 12220 3666 2527 379
6 PCA within_one_ct 10 20000 0.15 0.7 NA ODC 0.349120915769434 0.258406512588945 0.00544960346272289 12220 8554 2527 379
2 PCA within_one_ct 10 20000 0.15 0.5 NA ODC 0.216181793086066 0.160023180143079 0.00279577095079974 12220 6110 2527 379
9 PCA within_one_ct 10 20000 0.15 0.7 NA INH 0.548313706092603 0.283322666367274 0.0120734329307279 1939 1357 2527 379
3 PCA within_one_ct 10 20000 0.15 0.7 NA ODC 0.347042046417555 0.256500448328443 0.00177080202925428 12220 8554 2527 379
4 PCA within_one_ct 10 20000 0.15 0.7 NA INH 0.558321587200425 0.279485662416024 0.0271238418488036 1939 1357 2527 379
4 PCA within_one_ct 10 20000 0.5 0.15 NA INH 0.118194054272118 0.0615208965719509 0.0173095535622171 1939 290 2527 1263
6 PCA within_one_ct 10 20000 0.7 0.15 NA ODC 0.493858436034313 0.434869358757848 0.551843435251028 12220 1833 2527 1768
1 PCA within_one_ct 10 20000 0.5 0.15 NA ASC 0.117816659379666 0.0506021201489832 0.0294218627429798 1515 227 2527 1263
1 PCA within_one_ct 10 20000 0.15 0.5 NA ASC 0.389369490735279 0.167928246190486 0.0101041991313969 1515 757 2527 379
3 PCA within_one_ct 10 20000 0.15 0.5 NA ODC 0.214009101303747 0.158502264245348 0.00186989163420643 12220 6110 2527 379
10 PCA within_one_ct 10 20000 0.5 0.5 NA INH 0.453391613706914 0.20032870382334 0.162617733425418 1939 969 2527 1263
1 PCA within_one_ct 10 20000 0.15 0.3 NA ASC 0.234002252352093 0.102329173914644 0.00686237391062717 1515 454 2527 379
5 PCA within_one_ct 10 20000 0.5 0.15 NA EX 0.121670528268012 0.0524270361196678 0.0731474915603933 2001 300 2527 1263
1 PCA within_one_ct 10 20000 0.3 0.7 NA ASC 0.574323086938913 0.255050018630485 0.0405865343403037 1515 1060 2527 758
10 PCA within_one_ct 10 20000 0.3 0.7 NA INH 0.554927669795562 0.281176825521788 0.0418261407204401 1939 1357 2527 758
9 PCA within_one_ct 10 20000 0.3 0.5 NA INH 0.383496050218066 0.197417374243504 0.0615232646225312 1939 969 2527 758
6 PCA within_one_ct 10 20000 0.5 0.5 NA ODC 0.69554245357816 0.479996351528679 0.669292657267197 12220 6110 2527 1263
2 PCA within_one_ct 10 20000 0.5 0.15 NA ODC 0.210572766128268 0.14107912243074 0.388257762185732 12220 1833 2527 1263
1 PCA within_one_ct 10 20000 0.3 0.3 NA ASC 0.224887189808291 0.0978192752057305 0.0203048304905552 1515 454 2527 758
7 PCA within_one_ct 10 20000 0.15 0.3 NA EX 0.231155243891778 0.107731004410181 0.017035942094745 2001 600 2527 379
4 PCA within_one_ct 10 20000 0.15 0.15 NA INH 0.108728963612541 0.0534253484144127 0.00176492431245337 1939 290 2527 379
3 PCA within_one_ct 10 20000 0.3 0.5 NA ODC 0.575690959819077 0.363320224132948 0.550875400344572 12220 6110 2527 758
7 PCA within_one_ct 10 20000 0.15 0.7 NA EX 0.558787111334638 0.262032647627102 0.0283964051773998 2001 1400 2527 379
6 PCA within_one_ct 10 20000 0.3 0.5 NA ODC 0.2178691302128 0.15938486201176 0.0143595719387751 12220 6110 2527 758
8 PCA within_one_ct 10 20000 0.15 0.7 NA MG 0.548466829265677 0.305481513448883 0.00325725106902189 1292 904 2527 379
1 PCA within_one_ct 10 20000 0.3 0.5 NA ASC 0.397526676602894 0.170797636863265 0.0123287699854311 1515 757 2527 758
8 PCA within_one_ct 10 20000 0.3 0.5 NA MG 0.392427041051833 0.219992681532656 0.0144823595367005 1292 646 2527 758
9 PCA within_one_ct 10 20000 0.5 0.5 NA INH 0.541610145326149 0.202803075306224 0.598769329166486 1939 969 2527 1263
10 PCA within_one_ct 10 20000 0.15 0.15 NA INH 0.111976743794634 0.0567397372135673 0.00969723995735295 1939 290 2527 379
4 PCA within_one_ct 10 20000 0.15 0.3 NA INH 0.226987741253679 0.109393117294954 0.00925402279238898 1939 581 2527 379
5 PCA within_one_ct 10 20000 0.7 0.7 NA EX 0.833980603150202 0.277623390984768 0.836152854059839 2001 1400 2527 1768
