cells genes PCA method user_time_seconds system_time_seconds elapsed_time_seconds raw_elapsed_time max_resident_set_size_kbytes avg_resident_set_sizes memory_used_bytes_R_python
20000 3000 Standard my_method 32.83 9.90 16.04 0:16.04 6738544 0 2479497216
20000 3000 Standard my_method 34.19 21.43 17.66 0:17.66 6766992 0 2621894656
20000 3000 Standard my_method 49.85 47.51 18.01 0:18.01 6880608 0 2636484608
25000 3000 Standard my_method 36.64 12.97 20.15 0:20.15 10569888 0 3754770432
20000 5000 Standard my_method 58.61 14.22 24.18 0:24.18 10488976 0 5134372864
25000 3000 Standard my_method 35.48 27.46 20.54 0:20.54 10675040 0 3665522688
25000 3000 Standard my_method 103.63 33.02 22.73 0:22.73 2654852 0 3387707392
20000 5000 Standard my_method 51.08 13.42 22.95 0:22.95 10573056 0 3157839872
25000 5000 Standard my_method 54.21 13.98 25.59 0:25.59 13070800 0 4081311744
20000 5000 Standard my_method 60.62 12.75 25.61 0:25.61 10660464 0 3171246080
25000 5000 Standard my_method 70.48 18.41 26.47 0:26.47 13129744 0 6582657024
25000 5000 Standard my_method 53.12 24.45 27.4 0:27.40 12937936 0 23971962880
20000 10000 Standard my_method 93.53 17.29 37.13 0:37.13 19959616 0 8115728384
20000 10000 Standard my_method 82.17 22.04 35.81 0:35.81 4993216 0 6966157312
20000 10000 Standard my_method 96.86 19.66 36.06 0:36.06 19970496 0 4760641536
25000 3000 Standard my_method 41.05 10.14 16.19 0:16.19 10535456 0 5347229696
25000 10000 Standard my_method 113.54 17.36 42.55 0:42.55 24833792 0 6004019200
25000 10000 Standard my_method 131.95 34.23 43.79 0:43.79 24747584 0 5502050304
25000 5000 Standard my_method 116.66 35.97 22.54 0:22.54 13245024 0 3746553856
20000 3000 Standard my_method 32.96 7.72 12.56 0:12.56 6875056 0 5886959616
25000 10000 Standard my_method 116.76 23.70 50.25 0:50.25 24703008 0 7889870848
100000 3000 Standard my_method 142.97 41.14 51.45 0:51.45 7655776 0 8726634496
100000 3000 Standard my_method 157.04 38.03 52.31 0:52.31 30569856 0 6428635136
20000 5000 Standard my_method 44.98 14.63 17.2 0:17.20 2634460 0 5345722368
25000 10000 Standard my_method 119.99 22.02 37.39 0:37.39 24837056 0 5735256064
25000 3000 Standard my_method 42.18 14.49 14.94 0:14.94 10586112 0 3277111296
20000 20000 Standard my_method 187.01 26.73 63.55 1:03.55 38652000 0 8440774656
20000 20000 Standard my_method 196.61 42.96 64.85 1:04.85 38769392 0 13722460160
20000 5000 Standard my_method 186.70 8.46 58.48 0:58.48 10412528 0 2346901504
20000 3000 Standard my_method 105.58 7.24 36.6 0:36.60 6684720 0 1693028352
25000 5000 Standard my_method 57.87 12.67 20.57 0:20.57 13037808 0 3984236544
20000 10000 Standard my_method 196.76 25.25 62.27 1:02.27 19887552 0 4393582592
100000 3000 Standard my_method 163.11 39.96 46.54 0:46.54 30652352 0 6812110848
20000 10000 Standard my_method 98.21 19.59 30.98 0:30.98 19981456 0 4761939968
25000 20000 Standard my_method 209.99 63.12 76.88 1:16.88 12065676 0 12509589504
25000 20000 Standard my_method 201.54 40.40 77.07 1:17.07 48206416 0 10488958976
100000 5000 Standard my_method 213.28 67.36 77.76 1:17.76 12346148 0 13646278656
20000 20000 Standard my_method 191.94 28.30 63.88 1:03.88 38658288 0 7945408512
20000 20000 Standard my_method 654.21 295.93 82.85 1:22.85 9683924 0 11381379072 
100000 5000 Standard my_method 250.46 76.11 86.6 1:26.60 49458448 0 10266124288
100000 3000 Standard my_method 279.94 78.16 89.41 1:29.41 30515136 0 13808205824
25000 10000 Standard my_method 117.98 30.83 41.11 0:41.11 24790352 0 9068847104
25000 20000 Standard my_method 213.88 74.07 94.85 1:34.85 48167376 0 9766580224
25000 20000 Standard my_method 203.98 39.39 71.18 1:11.18 48227888 0 10120318976
100000 5000 Standard my_method 217.50 84.25 96.69 1:36.69 49339488 0 15068155904
100000 3000 Standard my_method 240.03 148.36 51.78 0:51.78 30872656 0 7015903232
100000 5000 Standard my_method 260.85 94.57 74.12 1:14.12 49417552 0 15136460800
20000 20000 Standard my_method 203.09 83.55 68.31 1:08.31 38684416 0 11882635264
25000 20000 Standard my_method 231.16 85.09 90.67 1:30.67 48164864 0 18318143488
20000 3000 Standard Seurat 378.54 66.45 37.93 0:37.93 2587812 0 1337899984000000
25000 3000 Standard Seurat 411.58 51.42 42.75 0:42.75 12470400 0 1620376600000000
20000 5000 Standard Seurat 715.78 86.54 53.98 0:53.98 15501008 0 2051790016000000
100000 5000 Standard my_method 621.54 189.16 120.28 2:00.28 12357668 0 10533781504
20000 10000 Standard Seurat 884.20 118.12 65.59 1:05.59 7232320 0 3838517312000000
25000 3000 Standard Seurat 827.20 167.42 38.39 0:38.39 12827776 0 1620376600000000
20000 3000 Standard Seurat 442.62 162.14 41.5 0:41.50 10389712 0 1337899984000000
25000 5000 Standard Seurat 952.21 126.50 67.23 1:07.23 19007504 0 2513468448000000
25000 5000 Standard Seurat 758.39 150.19 55.97 0:55.97 4703760 0 2513468448000000
20000 3000 Standard Seurat 544.94 226.10 59.73 0:59.73 10403936 0 1337899984000000
20000 3000 Standard Seurat 340.73 47.05 33.48 0:33.48 10523984 0 1337899984000000
25000 3000 Standard Seurat 669.57 117.91 63.5 1:03.50 12465200 0 1620376600000000
20000 5000 Standard Seurat 843.35 214.83 67.99 1:07.99 15329616 0 2051790016000000
20000 5000 Standard Seurat 720.08 87.45 50.75 0:50.75 15313888 0 2051790016000000
25000 3000 Standard Seurat 526.56 72.64 39.16 0:39.16 12647808 0 1620376600000000
20000 10000 Standard Seurat 771.76 248.01 82.89 1:22.89 29058432 0 3838517312000000
20000 20000 Standard Seurat 1273.16 170.91 117.69 1:57.69 56254592 0 7403862024000000
25000 10000 Standard Seurat 1392.05 182.73 104.4 1:44.40 35829248 0 4744865768000000
20000 10000 Standard Seurat 990.34 203.64 90.82 1:30.82 28988848 0 3838517312000000
25000 10000 Standard Seurat 1303.50 190.76 99.16 1:39.16 36006640 0 4744865768000000
20000 5000 Standard Seurat 628.17 153.53 52.29 0:52.29 15354080 0 2051790016000000
20000 20000 Standard Seurat 600.36 195.44 114.92 1:54.92 56312064 0 7403862024000000
20000 20000 Standard Seurat 882.20 151.94 90.87 1:30.87 14106708 0 7403862024000000
25000 5000 Standard Seurat 902.29 138.85 74.53 1:14.53 19129200 0 2513468448000000
25000 3000 Standard Seurat 316.04 120.68 61.65 1:01.65 12643664 0 1620376600000000
25000 5000 Standard Seurat 443.49 257.67 128.46 2:08.46 18886048 0 2513468448000000
25000 20000 Standard Seurat 1928.61 210.50 144.76 2:24.76 69958416 0 9201032808000000
25000 20000 Standard Seurat 1553.62 219.43 139.42 2:19.42 69734112 0 9201032808000000
25000 10000 Standard Seurat 1347.01 225.63 138.46 2:18.46 36012720 0 4744865768000000
25000 5000 Standard Seurat 898.05 111.03 74.39 1:14.39 18953520 0 2513468448000000
20000 10000 Standard Seurat 1227.73 161.74 104.69 1:44.69 29133440 0 3838517312000000
20000 10000 Standard Seurat 1151.23 236.05 90.54 1:30.54 29084112 0 3838517312000000
20000 5000 Standard Seurat 3551.49 400.17 146.69 2:26.69 3848488 0 2051790016000000
20000 3000 Standard Seurat 553.09 233.43 117.79 1:57.79 10453104 0 1337899984000000
25000 20000 Standard Seurat 939.38 245.98 193.34 3:13.34 69750048 0 9201032808000000
20000 20000 Standard Seurat 1083.17 211.93 130.67 2:10.67 56330496 0 7403862024000000
100000 3000 Standard Seurat 1878.13 690.60 219.38 3:39.38 43509584 0 5856892920000000
20000 20000 Standard Seurat 5347.28 610.94 226.24 3:46.24 14061680 0 7403862024000000
25000 20000 Standard Seurat 636.85 194.41 164.7 2:44.70 69957264 0 9201032808000000
25000 10000 Standard Seurat 2034.92 319.59 181.93 3:01.93 36058336 0 4744865768000000
20000 3000 Conditional Seurat 844.12 2155.46 178.67 2:58.67 15744496 0 1338809160000000
25000 10000 Standard Seurat 928.68 386.93 189.91 3:09.91 35893440 0 4744865768000000
20000 3000 Conditional Seurat 889.23 2108.47 169.49 2:49.49 15797312 0 1338809160000000
25000 20000 Standard Seurat 654.20 264.42 205.58 3:25.58 69841984 0 9201032808000000
100000 3000 Standard Seurat 4852.92 531.38 306.3 5:06.30 43544304 0 5856892920000000
25000 3000 Conditional Seurat 1006.93 4086.64 250.82 4:10.82 19162032 0 1621365776000000
20000 3000 Conditional Seurat 694.14 2237.79 246.65 4:06.65 15614656 0 1338809160000000
25000 20000 Conditional my_method 1399.94 405.40 405.44 6:45.44 94636864 0 35612598272
100000 3000 Standard Seurat 5543.69 2255.37 326.08 5:26.08 43656144 0 5856892920000000
25000 3000 Conditional Seurat 842.38 2974.61 278.01 4:38.01 19014944 0 1621365776000000
25000 20000 Conditional my_method 1383.40 258.55 426.03 7:06.03 94584768 0 20972265472
